No overlap between train and test sets.
[129]	train-logloss:0.01026	train-auc:0.99986	eval-logloss:0.18434	eval-auc:0.53459
[130]	train-logloss:0.01010	train-auc:0.99988	eval-logloss:0.18467	eval-auc:0.53544
[131]	train-logloss:0.00997	train-auc:0.99989	eval-logloss:0.18489	eval-auc:0.53548
[132]	train-logloss:0.00983	train-auc:0.99991	eval-logloss:0.18518	eval-auc:0.53605
[133]	train-logloss:0.00965	train-auc:0.99992	eval-logloss:0.18538	eval-auc:0.53795
[134]	train-logloss:0.00951	train-auc:0.99992	eval-logloss:0.18596	eval-auc:0.53843
[135]	train-logloss:0.00939	train-auc:0.99992	eval-logloss:0.18625	eval-auc:0.53848
[136]	train-logloss:0.00928	train-auc:0.99993	eval-logloss:0.18661	eval-auc:0.53808
[137]	train-logloss:0.00923	train-auc:0.99992	eval-logloss:0.18689	eval-auc:0.53822
[138]	train-logloss:0.00919	train-auc:0.99992	eval-logloss:0.18737	eval-auc:0.53816
[139]	train-logloss:0.00912	train-auc:0.99992	eval-logloss:0.18790	eval-auc:0.53729
[140]	train-logloss:0.00901	train-auc:0.99993	eval-logloss:0.18849	eval-auc:0.53689
[141]	train-logloss:0.00897	train-auc:0.99993	eval-logloss:0.18876	eval-auc:0.53611
[142]	train-logloss:0.00886	train-auc:0.99993	eval-logloss:0.18922	eval-auc:0.53565
[143]	train-logloss:0.00880	train-auc:0.99993	eval-logloss:0.18918	eval-auc:0.53747
[144]	train-logloss:0.00864	train-auc:0.99994	eval-logloss:0.18937	eval-auc:0.53752
[145]	train-logloss:0.00861	train-auc:0.99994	eval-logloss:0.18957	eval-auc:0.53710
[146]	train-logloss:0.00858	train-auc:0.99994	eval-logloss:0.19015	eval-auc:0.53572
[147]	train-logloss:0.00845	train-auc:0.99995	eval-logloss:0.19031	eval-auc:0.53516
[148]	train-logloss:0.00831	train-auc:0.99995	eval-logloss:0.19087	eval-auc:0.53507
[149]	train-logloss:0.00825	train-auc:0.99996	eval-logloss:0.19109	eval-auc:0.53490
[150]	train-logloss:0.00817	train-auc:0.99996	eval-logloss:0.19093	eval-auc:0.53548
[151]	train-logloss:0.00815	train-auc:0.99996	eval-logloss:0.19106	eval-auc:0.53599
[152]	train-logloss:0.00809	train-auc:0.99996	eval-logloss:0.19152	eval-auc:0.53549
[153]	train-logloss:0.00802	train-auc:0.99996	eval-logloss:0.19159	eval-auc:0.53492
[154]	train-logloss:0.00789	train-auc:0.99997	eval-logloss:0.19180	eval-auc:0.53506
[155]	train-logloss:0.00785	train-auc:0.99997	eval-logloss:0.19208	eval-auc:0.53615
