No overlap between train and test sets.
[183]	train-logloss:0.00154	train-auc:1.00000	eval-logloss:0.20250	eval-auc:0.56129
[184]	train-logloss:0.00154	train-auc:1.00000	eval-logloss:0.20274	eval-auc:0.56095
[185]	train-logloss:0.00153	train-auc:1.00000	eval-logloss:0.20289	eval-auc:0.56080
[186]	train-logloss:0.00151	train-auc:1.00000	eval-logloss:0.20307	eval-auc:0.56119
[187]	train-logloss:0.00150	train-auc:1.00000	eval-logloss:0.20346	eval-auc:0.56122
[188]	train-logloss:0.00148	train-auc:1.00000	eval-logloss:0.20352	eval-auc:0.56134
[189]	train-logloss:0.00146	train-auc:1.00000	eval-logloss:0.20385	eval-auc:0.56131
[190]	train-logloss:0.00145	train-auc:1.00000	eval-logloss:0.20405	eval-auc:0.56162
[191]	train-logloss:0.00144	train-auc:1.00000	eval-logloss:0.20429	eval-auc:0.56135
[192]	train-logloss:0.00143	train-auc:1.00000	eval-logloss:0.20438	eval-auc:0.56105
[193]	train-logloss:0.00142	train-auc:1.00000	eval-logloss:0.20445	eval-auc:0.56097
[194]	train-logloss:0.00140	train-auc:1.00000	eval-logloss:0.20464	eval-auc:0.56226
[195]	train-logloss:0.00138	train-auc:1.00000	eval-logloss:0.20542	eval-auc:0.56088
[196]	train-logloss:0.00137	train-auc:1.00000	eval-logloss:0.20535	eval-auc:0.56210
[197]	train-logloss:0.00135	train-auc:1.00000	eval-logloss:0.20552	eval-auc:0.56198
[198]	train-logloss:0.00134	train-auc:1.00000	eval-logloss:0.20580	eval-auc:0.56304
[199]	train-logloss:0.00133	train-auc:1.00000	eval-logloss:0.20593	eval-auc:0.56365
Confusion Matrix:
[[12459    89]
 [  323     5]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions.csv
